round,client_id,eval_loss,eval_acc,avg_loss,avg_acc
7,client_10,2.874981641769409,0.72,,
7,client_4,0.08245046343654394,0.9705882352941176,,
7,client_7,2.534785807132721,0.6886792452830188,,
7,client_6,0.4135175086557865,0.9038461538461539,,
7,client_8,0.11693184946974118,0.9791666666666666,,
7,client_3,0.5059379227459431,0.9134615384615384,,
7,client_2,2.082411214709282,0.7522935779816514,,
7,client_0,0.14481946267187595,0.9489795918367347,,
7,client_5,2.7021647294362388,0.7582417582417582,,
7,client_1,0.0646431390196085,0.9801980198019802,,
7,client_9,0.08407611632719636,0.9702970297029703,,
7,client_16,0.23123866816361746,0.9574468085106383,,
7,client_15,0.5836802124977112,0.9494949494949495,,
7,client_11,0.1208019529779752,0.9574468085106383,,
7,client_14,0.0499777952209115,1.0,,
7,client_18,0.10862977306048076,0.9574468085106383,,
7,client_13,0.0809275396168232,0.968421052631579,,
7,client_19,0.26686715916730464,0.9047619047619048,,
7,client_17,0.2002346459776163,0.9603960396039604,,
7,client_12,0.0919612254947424,0.9811320754716981,,
7,avg,,,0.6732747414807593,0.9099099099099099
8,client_5,2.5623957316080728,0.7692307692307693,,
8,client_3,0.44523371011018753,0.8942307692307693,,
8,client_8,0.111074298620224,0.96875,,
8,client_0,0.14548384770751,0.9285714285714286,,
8,client_4,0.1140853175893426,0.9607843137254902,,
8,client_7,2.638010561466217,0.6981132075471698,,
8,client_1,0.06920272391289473,0.9801980198019802,,
8,client_9,0.08427889412268996,0.9702970297029703,,
8,client_6,0.37627481669187546,0.8942307692307693,,
8,client_10,3.1796049773693085,0.71,,
8,client_2,2.231154829263687,0.7614678899082569,,
8,client_16,0.2381827048957348,0.9468085106382979,,
8,client_12,0.0916148810647428,0.9811320754716981,,
8,client_19,0.15210784412920475,0.9619047619047619,,
8,client_13,0.07570770382881165,0.9789473684210527,,
8,client_15,0.5043038697913289,0.9595959595959596,,
8,client_11,0.11747315029303233,0.9574468085106383,,
8,client_18,0.1008684014280637,0.9893617021276596,,
8,client_14,0.062117937952280045,1.0,,
8,client_17,0.1940633151680231,0.9801980198019802,,
8,avg,,,0.6821127809996042,0.9134134134134134
9,client_7,2.901947319507599,0.7169811320754716,,
9,client_3,0.705087635666132,0.9230769230769231,,
9,client_0,0.11162274540401995,0.9693877551020408,,
9,client_6,0.3385169170796871,0.8942307692307693,,
9,client_10,2.3695787489414215,0.73,,
9,client_5,2.3444036642710366,0.7692307692307693,,
9,client_4,0.08180750161409378,0.9803921568627451,,
9,client_9,0.05905540334060788,0.9900990099009901,,
9,client_8,0.10711144159237544,0.9583333333333334,,
9,client_12,0.07572811096906662,0.9811320754716981,,
9,client_1,0.07104783318936825,0.9603960396039604,,
9,client_2,2.3228842467069626,0.7798165137614679,,
9,client_14,0.04878136981278658,0.9897959183673469,,
9,client_11,0.09092963486909866,0.9680851063829787,,
9,client_18,0.08264961590369542,0.9787234042553191,,
9,client_13,0.07479739189147949,0.9789473684210527,,
9,client_15,0.4564712271094322,0.9393939393939394,,
9,client_16,0.25254806006948155,0.9468085106382979,,
9,client_19,0.214270195690915,0.9238095238095239,,
9,client_17,0.22484333207830787,0.9702970297029703,,
9,avg,,,0.6570112473014968,0.9164164164164165
10,client_8,0.11882804830869038,0.9791666666666666,,
10,client_2,2.704819232225418,0.7614678899082569,,
10,client_10,2.876244217157364,0.72,,
10,client_4,0.05728414631448686,0.9803921568627451,,
10,client_3,0.5199190601706505,0.9038461538461539,,
10,client_1,0.0853121142135933,0.9702970297029703,,
10,client_5,2.5852343241373696,0.7692307692307693,,
10,client_9,0.06826462782919407,0.9801980198019802,,
10,client_6,0.34302204102277756,0.9038461538461539,,
10,client_0,0.1241076300793793,0.9489795918367347,,
10,client_15,0.25420492608100176,0.9494949494949495,,
10,client_7,3.1853687167167664,0.7075471698113207,,
10,client_11,0.12577317903439203,0.9574468085106383,,
10,client_16,0.23940553950766721,0.9574468085106383,,
10,client_14,0.06496233632788062,1.0,,
10,client_17,0.1477353018708527,0.9702970297029703,,
10,client_19,0.23831476597115397,0.9047619047619048,,
10,client_13,0.10084359720349312,0.968421052631579,,
10,client_18,0.11908072233200073,0.9574468085106383,,
10,client_12,0.06865718401968479,0.9622641509433962,,
10,avg,,,0.7126528416002867,0.9114114114114115
11,client_5,2.7706578572591147,0.7692307692307693,,
11,client_4,0.06523258943343535,0.9803921568627451,,
11,client_1,0.05932586709968746,0.9801980198019802,,
11,client_8,0.08729725827773412,0.9791666666666666,,
11,client_0,0.0899909830186516,0.9591836734693877,,
11,client_7,3.564637839794159,0.7075471698113207,,
11,client_3,0.35537643171846867,0.9326923076923077,,
11,client_6,0.38828347623348236,0.9134615384615384,,
11,client_9,0.06772603117860854,0.9801980198019802,,
11,client_2,2.499967247247696,0.7798165137614679,,
11,client_11,0.05426507443189621,0.9787234042553191,,
11,client_14,0.06965513341128826,1.0,,
11,client_16,0.20736907174189886,0.9574468085106383,,
11,client_10,3.5932338535785675,0.72,,
11,client_18,0.08890169610579808,0.9680851063829787,,
